place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
10180,"Abilene, TX",traditional,all-transactions,2015,191.695,4,"Abilene, TX Metro Area",44799,167945,33.8,15773,5037,60238,38193,94000,10180,2015,0.6340349945217305
10180,"Abilene, TX",traditional,all-transactions,2019,225.8425,4,"Abilene, TX Metro Area",52511,170669,34.1,16565,6061,60931,37756,116100,10180,2019,0.6196517372109436
10180,"Abilene, TX",traditional,all-transactions,2022,300.38,4,"Abilene, TX Metro Area",61924,176656,34.3,19008,7382,65075,40831,158300,10180,2022,0.6274452554744525
10420,"Akron, OH",traditional,all-transactions,2015,136.77249999999998,4,"Akron, OH Metro Area",51160,703744,40.1,89205,36399,281957,188352,137900,10420,2015,0.6680167543277876
10420,"Akron, OH",traditional,all-transactions,2019,160.7775,4,"Akron, OH Metro Area",57285,703845,40.3,96686,42654,286543,190863,150000,10420,2019,0.6660885102759446
10420,"Akron, OH",traditional,all-transactions,2022,216.3625,4,"Akron, OH Metro Area",68647,700578,40.6,103159,46540,292223,197949,185800,10420,2022,0.677390212269397
10500,"Albany, GA",traditional,all-transactions,2015,144.1175,4,"Albany, GA Metro Area",37404,155917,35.8,10426,4943,57997,32129,106100,10500,2015,0.5539769298411987
10500,"Albany, GA",traditional,all-transactions,2019,158.99,4,"Albany, GA Metro Area",44844,148436,36.9,11153,5521,55714,30225,117700,10500,2019,0.542502782065549
10500,"Albany, GA",traditional,all-transactions,2022,212.69,4,"Albany, GA Metro Area",53173,147716,37.5,12670,6327,57043,32360,139900,10500,2022,0.56729134161948
10540,"Albany, OR",traditional,all-transactions,2015,181.1925,4,"Albany, OR Metro Area",45644,118971,39.5,9734,3278,45100,28988,170300,10540,2015,0.6427494456762749
10540,"Albany, OR",traditional,all-transactions,2019,264.6275,4,"Albany-Lebanon, OR Metro Area",55893,125048,39.6,11549,3675,47762,30748,221600,10540,2019,0.6437753862903564
10540,"Albany, OR",traditional,all-transactions,2022,384.985,4,"Albany-Lebanon, OR Metro Area",69523,128598,40.0,12039,4626,49944,33445,319800,10540,2022,0.66965000800897
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2015,187.335,4,"Albany-Schenectady-Troy, NY Metro Area",62283,877846,40.0,114546,68876,345988,224922,197400,10580,2015,0.6500861301548031
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2019,207.195,4,"Albany-Schenectady-Troy, NY Metro Area",71285,880736,40.0,125071,75480,352713,225446,213600,10580,2019,0.6391768945289796
10580,"Albany-Schenectady-Troy, NY",traditional,all-transactions,2022,270.2675,4,"Albany-Schenectady-Troy, NY Metro Area",83360,901729,40.3,135862,84931,372919,237513,254100,10580,2022,0.6369023836275438
10580,"Albany-Schenectady-Troy, NY",traditional,purchase-only,2015,174.895,4,"Albany-Schenectady-Troy, NY Metro Area",62283,877846,40.0,114546,68876,345988,224922,197400,10580,2015,0.6500861301548031
10580,"Albany-Schenectady-Troy, NY",traditional,purchase-only,2019,195.5125,4,"Albany-Schenectady-Troy, NY Metro Area",71285,880736,40.0,125071,75480,352713,225446,213600,10580,2019,0.6391768945289796
10580,"Albany-Schenectady-Troy, NY",traditional,purchase-only,2022,265.185,4,"Albany-Schenectady-Troy, NY Metro Area",83360,901729,40.3,135862,84931,372919,237513,254100,10580,2022,0.6369023836275438
10740,"Albuquerque, NM",traditional,all-transactions,2015,157.2275,4,"Albuquerque, NM Metro Area",48495,902731,37.1,102315,56440,343434,228559,177100,10740,2015,0.6655106949224596
10740,"Albuquerque, NM",traditional,all-transactions,2019,182.3125,4,"Albuquerque, NM Metro Area",54072,912108,38.2,112215,61389,351354,235397,192800,10740,2019,0.6699710263722627
10740,"Albuquerque, NM",traditional,all-transactions,2022,260.4225,4,"Albuquerque, NM Metro Area",63971,915968,39.1,120489,67896,367877,249016,242600,10740,2022,0.6769001595642021
