NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Beaumont-Port Arthur, TX Metro Area",45861,405695,36.9,31909,10003,151173,103694,97700,13140,2015
"Beaver Dam, WI Micro Area",53783,88547,42.0,7257,2334,33322,24103,153100,13180,2015
"Beckley, WV Metro Area",38967,124027,42.2,9483,3718,48943,36348,90100,13220,2015
"Bedford, IN Micro Area",45875,45814,41.9,2894,1172,18494,14245,100500,13260,2015
"Beeville, TX Micro Area",42302,32659,35.3,1383,550,8762,5417,72900,13300,2015
"Bellefontaine, OH Micro Area",49783,45484,40.7,3169,1321,18640,13725,119400,13340,2015
"Bellingham, WA Metro Area",53145,207100,36.5,28685,10077,79767,50359,274700,13380,2015
"Bemidji, MN Micro Area",44757,45434,33.3,4777,1570,16739,11561,148800,13420,2015
"Bend-Redmond, OR Metro Area",51223,166622,41.9,24494,10157,66337,42919,253400,13460,2015
"Bennettsville, SC Micro Area",30767,27993,39.4,1101,506,9950,6532,60200,13500,2015
"Bennington, VT Micro Area",49573,36589,46.1,5607,2285,15636,11243,211300,13540,2015
"Berlin, NH-VT Micro Area",41214,38077,48.2,3329,1311,16899,12099,123300,13620,2015
"Big Rapids, MI Micro Area",41889,43301,35.7,3603,1815,15478,11532,110500,13660,2015
"Big Spring, TX Micro Area",50091,37285,37.0,2424,640,11637,7825,75600,13700,2015
"Big Stone Gap, VA Micro Area",35556,60000,40.5,3621,1471,23242,16340,84500,13720,2015
"Billings, MT Metro Area",52431,164716,38.8,22583,6249,66242,45600,193500,13740,2015
"Binghamton, NY Metro Area",48540,248292,40.8,24766,15149,99004,67577,110500,13780,2015
"Birmingham-Hoover, AL Metro Area",49260,1138476,38.2,135827,54160,438124,303167,146200,13820,2015
"Bismarck, ND Metro Area",63836,123407,36.9,18378,4954,51259,36299,185100,13900,2015
"Bloomington, IL Metro Area",61504,189502,33.4,32894,11225,72186,48264,155400,14010,2015
"Bloomington, IN Metro Area",42725,163596,30.0,18595,12810,62718,35862,152300,14020,2015
"Bloomsburg-Berwick, PA Metro Area",47372,85420,40.9,7912,3386,33558,23786,145700,14100,2015
"Bluefield, WV-VA Micro Area",36754,105761,42.6,8153,2826,43283,31758,87800,14140,2015
"Blytheville, AR Micro Area",34612,44864,35.6,2347,1046,17141,9870,79600,14180,2015
"Bogalusa, LA Micro Area",30705,46556,39.2,2610,994,17604,12740,79600,14220,2015
