city	metro_name	yr	qtr	index_nsa	index_sa	rstderr	note
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1991	1	100.00	100.00	0.00	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1991	2	100.82	100.25	0.28	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1991	3	100.24	99.47	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1991	4	99.72	99.56	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1992	1	99.16	99.18	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1992	2	98.42	97.87	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1992	3	97.04	96.28	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1992	4	94.85	94.69	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1993	1	92.93	92.97	0.33	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1993	2	91.38	90.88	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1993	3	90.66	89.90	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1993	4	87.94	87.80	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1994	1	86.17	86.24	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1994	2	87.94	87.46	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1994	3	87.53	86.75	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1994	4	86.42	86.28	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1995	1	85.67	85.80	0.34	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1995	2	85.64	85.14	0.32	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1995	3	85.61	84.80	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1995	4	84.97	84.86	0.32	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1996	1	84.55	84.75	0.33	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1996	2	85.05	84.49	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1996	3	85.46	84.64	0.30	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1996	4	85.29	85.22	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1997	1	85.60	85.85	0.31	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1997	2	87.73	87.07	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1997	3	89.50	88.63	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1997	4	91.13	91.09	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1998	1	94.07	94.38	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1998	2	99.24	98.42	0.27	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1998	3	103.31	102.31	0.28	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1998	4	104.53	104.50	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1999	1	106.97	107.37	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1999	2	110.51	109.54	0.28	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1999	3	112.92	111.82	0.28	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	1999	4	114.27	114.26	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	2000	1	117.17	117.65	0.29	"	"
11244	"Anaheim-Santa Ana-Irvine, CA (MSAD)"	2000	2	122.31	121.25	0.28	"	"
